Date,Price,Open,High,Low,Vol.,Change %
Sep-86,231.32,252.93,254.13,228.08,-,-0.0854
Aug-86,252.93,236.12,254.24,231.92,-,0.0712
Jul-86,236.12,250.67,253.20,233.07,-,-0.0587
Jun-86,250.84,246.04,251.81,238.23,-,0.0141
May-86,247.35,235.52,249.19,232.26,-,0.0502
Apr-86,235.52,238.90,245.47,226.30,-,-0.0141
Mar-86,238.90,226.92,240.11,222.18,-,0.0528
Feb-86,226.92,211.78,227.92,210.82,-,0.0715
Jan-86,211.78,211.28,214.57,202.60,-,0.0024
Dec-85,211.28,202.17,213.08,200.10,-,0.0451
Nov-85,202.17,189.82,203.40,189.37,-,0.0651
Oct-85,189.82,182.06,190.15,181.16,-,0.0425
Sep-85,182.08,188.63,188.80,179.45,-,-0.0347
Aug-85,188.63,190.92,192.17,186.10,-,-0.0120
Jul-85,190.92,191.85,196.07,189.30,-,-0.0048
